Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
368754.3561,64941.49737,336083.5487,221670.7482,2993794.316,303806.592,303173.1234,852639.1479,1143168.315,580922.7273,113525.3526,104692.6523,1011972.6,499623.5008,258751.9001,269479.0004,337830.2439,384367.9033,123943.8133,695969.2575,540728.9799,930974.0931,397869.8886,241036.1041,591522.664,86616.08039,154447.1798,121672.5351,113614.3933,1522838.123,148936.2294,1582934.517,594015.1949,72666.80262,961186.5759,290854.431,264458.6879,1051230.68,104406.7298,320544.9419,77645.77174,441570.8655,1495552.321,167021.2441,66048.19607,555606.7879,440657.5671,173168.5354,442840.2398,56546.16722
339204.6724,59737.48912,309151.9005,203907.4312,2753890.234,279461.4186,278878.7123,784313.9423,1051561.906,534371.1881,104428.136,96303.23343,930879.4016,459586.7766,238017.1299,247884.6271,310758.6264,353567.0469,114011.7259,640198.6039,497398.3179,856371.6115,365987.0669,221720.9678,544121.7116,79675.20568,142070.7421,111922.4538,104510.0415,1400807.334,137001.405,1456087.977,546414.5066,66843.7364,884163.0536,267547.1634,243266.6112,966991.583,96040.22294,294858.4612,71423.72185,406186.119,1375708.047,153637.199,60755.50386,511083.9108,405346.0066,159291.8845,407353.7735,52014.90858
314042.5036,55306.16814,286219.0434,188781.5983,2549606.931,258730.9985,258191.5172,726133.6123,973557.149,494731.5867,96681.66725,89159.46918,861826.8605,425494.6754,220361.043,229496.5702,287706.5825,327339.4786,105554.3474,592708.7353,460501.3604,792846.0508,338838.1828,205273.7285,503758.8173,73764.90687,131531.9486,103620.0574,96757.49705,1296895.586,126838.6544,1348075.516,505881.533,61885.2747,818575.9265,247700.5415,225221.1182,895260.2438,88915.96878,272985.89,66125.51729,376055.2732,1273658.161,142240.4069,56248.66665,473171.7573,375277.4803,147475.6284,377136.3112,48156.44786
292357.6603,51487.24052,266455.4285,175746.1037,2373554.88,240865.4513,240363.2216,675993.6044,906332.3817,460570.0422,90005.73395,83002.94865,802317.1437,396113.9856,205144.9667,213649.6797,267840.252,304736.4703,98265.74969,551781.8038,428703.4358,738099.5048,315441.1813,191099.4413,468973.9366,68671.39109,122449.5803,96465.02361,90076.32766,1207344.085,118080.3612,1254990.007,470950.0774,57612.05541,762052.7154,230596.6547,209669.4505,833441.9297,82776.26212,254136.0331,61559.50643,350088.407,1185711.22,132418.6124,52364.65888,440498.9334,349364.3212,137292.3384,351094.7986,44831.21317
273475.5498,48161.90345,249246.2305,164395.4268,2220257.288,225308.9988,224839.2059,632334.1159,847796.3127,430823.8252,84192.65482,77642.14899,750498.9669,370530.7051,191895.545,199850.9755,250541.6144,285054.8663,91919.19205,516144.6155,401015.3443,690428.8661,295068.2066,178757.159,438684.9486,64236.20443,114541.0941,90234.76704,84258.68919,1129366.979,110454.0639,1173935.657,440533.459,53891.14317,712835.043,215703.4191,196127.8121,779613.5382,77430.10315,237722.4913,57583.64549,327477.7185,1109131.286,123866.2698,48982.65318,412049.022,326800.3983,128425.223,328419.1117,41935.75998
256885.5485,45240.23077,234126.066,154422.6144,2085568.569,211640.952,211199.6585,593974.4752,796365.9673,404688.5167,79085.22837,72932.09956,704971.0252,348052.9922,180254.4774,187727.3032,235342.8673,267762.4224,86343.04632,484833.4439,376688.3245,648544.9908,277168.3177,167913.1128,412072.7564,60339.40738,107592.6232,84760.80453,79147.25686,1060855.553,103753.5268,1102720.537,413809.1296,50621.91439,669591.9292,202618.0811,184230.0001,732319.4029,72732.91718,223301.3979,54090.41636,307611.7532,1041847.43,116352.1005,46011.19089,387052.66,306975.5216,120634.4914,308496.0381,39391.78734
242194.0177,42652.89862,220736.1719,145591.037,1966292.904,199537.0032,199120.9476,560004.5056,750821.0344,381543.9926,74562.26836,68761.04289,664653.0566,328147.508,169945.5511,176990.9988,221883.3831,252448.8328,81405.00474,457105.3546,355145.1582,611454.0812,261316.796,158310.0009,388505.9205,56888.53884,101439.298,79913.25289,74620.74938,1000184.208,97819.76316,1039654.893,390142.9888,47726.79859,631297.325,191030.1588,173693.7099,690437.3544,68573.25194,210530.577,50996.93361,290019.1422,982263.177,109697.8123,43379.76679,364916.7474,289419.2973,113735.2892,290852.854,37138.93327
229092.6057,40345.60299,208795.5156,137715.334,1859926.885,188743.1094,188349.5603,529711.2316,710205.598,360904.4859,70528.84504,65041.4351,628698.8509,310396.4679,160752.398,167416.7244,209880.6687,238792.6897,77001.42567,432378.3789,335933.6885,578377.6579,247180.9431,149746.2694,367489.8104,53811.17056,95951.96987,75590.36968,70584.16255,946079.5458,92528.2327,983415.0762,369038.322,45145.03188,597147.4874,180696.4403,164297.8012,653088.3549,64863.80265,199141.9892,48238.26994,274330.6445,929127.948,103763.7424,41033.15144,345176.6865,273763.2481,107582.8132,275119.2569,35129.91393
217336.3288,38275.1997,198080.8183,130648.2373,1764481.571,179057.4355,178684.082,502528.1982,673760.189,342384.058,66909.53732,61703.72317,596436.0993,294467.9449,152503.1151,158825.4502,199110.285,226538.6364,73049.96646,410190.1465,318694.6795,548697.224,234496.4323,142061.7847,348631.4454,51049.75876,91028.03123,71711.32121,66962.01612,897529.8637,87779.98896,932949.4579,350100.4925,42828.33773,566503.8478,171423.6949,155866.5799,619574.0144,61535.20622,188922.6791,45762.84101,260252.9006,881448.166,98438.92936,38927.46544,327463.3574,259714.6211,102062.018,261001.044,33327.1626
206728.0841,36406.97692,188412.4404,124271.2617,1678356.751,170317.594,169962.4639,477999.6617,640873.7731,325672.2001,63643.66482,58691.94785,567323.893,280094.8854,145059.3971,151073.1373,189391.6585,215481.2247,69484.37796,390168.6552,303139.1065,521915.165,223050.5984,135127.7108,331614.6508,48558.00631,86584.92856,68211.07234,63693.58211,853721.1898,83495.42411,887411.9441,333011.9933,40737.87506,538852.6427,163056.4583,148258.6903,589332.4402,58531.65627,179701.3123,43529.14444,247549.8866,838424.4441,93634.09876,37027.40539,311479.7829,247037.8806,97080.34348,248261.5129,31700.45484
197107.4944,34712.69048,179644.2132,118487.9989,1600250.374,162391.4541,162052.8509,455754.7951,611049.1671,310516.2591,60681.85345,55960.57657,540922.108,267059.9946,138308.7083,144042.5847,180577.8611,205453.2864,66250.75493,372011.2162,289031.7974,497626.5846,212670.4011,128839.217,316182.1636,46298.24243,82555.49017,65036.70565,60729.44772,813991.2161,79609.76326,846114.0899,317514.4774,38842.03983,513775.8359,155468.2329,141359.1147,561906.4344,55807.74454,171338.4785,41503.41077,236029.5558,799406.3414,89276.61024,35304.24581,296984.3203,235541.3773,92562.47566,236708.0649,30225.19775
188342.7323,33169.12425,171655.9894,113219.2033,1529092.178,155170.4073,154846.8607,435488.7858,583877.6962,296708.5593,57983.51869,53472.18242,516868.9711,255184.6608,132158.5469,137637.4554,172548.1208,196317.4128,63304.7883,355469.0254,276179.4453,475498.666,203213.6046,123110.1347,302122.5185,44239.50246,78884.50228,62144.72405,58028.99658,777795.5387,76069.76275,808490.0074,303395.5884,37114.85418,490929.81,148555.0403,135073.3111,536920.1893,53326.14635,163719.5851,39657.88217,225534.0499,763859.2083,85306.75489,33734.37495,283778.344,225067.5791,88446.50801,226182.3877,28881.17648
180324.4375,31757.0187,164348.0975,108399.1343,1463994.301,148564.3543,148254.582,416948.7687,559020.334,284076.8178,55514.99259,51195.71696,494864.3641,244320.7117,126532.1753,131777.8309,165202.2483,187959.6127,60609.72037,340335.6809,264421.6876,455255.3126,194562.2137,117868.9802,289260.2891,42356.09889,75526.16087,59499.04341,55558.53436,744682.533,72831.25294,774070.2494,290479.1607,35534.76749,470029.5081,142230.6226,129322.8496,514061.9439,51055.89807,156749.5689,37969.53142,215932.4131,731339.5125,81674.9996,32298.20504,271697.0792,215485.8013,84681.08435,216553.1493,27651.62127
172961.1244,30460.26227,157637.1573,103972.7971,1404214.004,142497.9227,142200.7996,399923.2097,536193.468,272476.9116,53248.1103,49105.20665,474657.2234,234344.1942,121365.399,126396.8551,158456.43,180284.5271,58134.80151,326438.5174,253624.3729,436665.5558,186617.5196,113055.9541,277448.7225,40626.54285,72442.14862,57069.4776,53289.8741,714274.3933,69857.28375,742462.1007,278617.8232,34083.75162,450836.4664,136422.8207,124042.1197,493070.8951,48971.09708,150348.9047,36419.09515,207115.0947,701476.2177,78339.90755,30979.34997,260602.6834,206686.7198,81223.24275,207710.484,26522.50339
166175.6731,29265.27337,151452.8819,99893.83226,1349125.176,136907.5757,136622.109,384233.7914,515158.0207,261787.3488,51159.12957,47178.7565,456035.9092,225150.619,116604.1037,121438.1703,152240.0136,173211.7709,55854.11063,313631.9827,243674.4156,419534.6957,179296.3133,108620.6473,266564.1103,39032.71981,69600.1651,54830.58052,51199.25494,686252.6395,67116.70726,713334.5127,267687.3458,32746.60933,433149.6661,131070.8065,119175.8138,473727.1928,47049.9082,144450.5553,34990.33481,198989.7464,673956.55,75266.54859,29763.9967,250378.9594,198578.1771,78036.76745,199561.778,25481.99701
159902.616,28160.52243,145735.6035,96122.88491,1298196.306,131739.3761,131464.6857,369729.1381,495711.0365,251904.9938,49227.89539,45397.7796,438820.7582,216651.2842,112202.3511,116853.9338,146493.0214,166673.1043,53745.64301,301792.5161,234475.8157,403697.4492,172527.9579,104520.2666,256501.4347,37559.25215,66972.79009,52760.7507,49266.50603,660346.9102,64583.08167,686406.4549,257582.2686,31510.43952,416798.4606,126122.9424,114676.9803,455844.2038,45273.79527,138997.6116,33669.46537,191477.9728,648514.9927,72425.27015,28640.41918,240927.2661,191081.94,75090.91449,192028.4104,24520.06306
154086.0163,27136.15841,140434.3415,92626.32958,1250973.262,126947.2393,126682.541,356279.9123,477679.1072,242741.7259,47437.18696,43746.39504,422858.2633,208770.4013,108120.8909,112603.2682,141164.2076,160610.2221,51790.5975,290814.5452,225946.5496,389012.5958,166252.1001,100718.249,247170.9672,36193.00099,64536.59536,50841.53153,47474.39311,636326.2048,62233.8147,661437.8103,248212.4848,30364.21929,401637.0463,121535.1083,110505.5032,439262.4659,43626.92075,133941.45,32444.70866,184512.7914,624924.6837,69790.73661,27598.59849,232163.3227,184131.1647,72359.41577,185043.2064,23628.12398
148677.7946,26183.71402,135505.276,89375.2641,1207065.704,122491.5539,122236.1461,343774.9439,460913.1826,234221.8024,45772.20248,42210.95263,408016.4801,201442.8277,104325.9862,108651.0378,136209.5248,154973.0091,49972.81389,280607.3273,218016.1152,375358.7522,160416.8645,97183.16754,238495.5829,34922.67303,62271.44356,49057.05892,45808.10274,613991.9703,60049.48755,638222.1907,239500.5446,29298.4741,387540.1006,117269.3817,106626.9017,423844.9162,42095.67173,129240.2767,31305.94096,178036.6289,602990.628,67341.17118,26629.92305,224014.6876,177668.3967,69819.69299,178548.4269,22798.8071
